,District,Neighborhood,Grid Latitude,Grid Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
65,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,La Caleta,52.5002413686734,13.31500818149948,Spanish Restaurant
66,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,Hotel Mondial am Kurfürstendamm,52.50161053628542,13.318886680337645,Hotel
67,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,Louis Vuitton,52.50053471204056,13.314569544209007,Boutique
68,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,Stulle mit Brot,52.50460174,13.32500482,Sandwich Place
69,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,Diesel,52.504114964210025,13.331493296624663,Clothing Store
70,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,filmkunst66,52.50433402749074,13.31980625798275,Movie Theater
71,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,Autorenbuchhandlung,52.50510516288839,13.320829779040649,Bookstore
72,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,Kuchel-Eck,52.497983,13.322444,Bar
73,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,Savignyplatz,52.50543447372109,13.32262073012896,Plaza
74,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,LaMa,52.495335,13.328488,Coffee Shop
75,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,NU Restaurant,52.504331343704884,13.317352328401345,Asian Restaurant
76,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,Weyers,52.49747787191282,13.322697758946683,Café
77,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,mientus,52.5014424400796,13.317003271916917,Men's Store
78,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,Mr. Hai Shabuki,52.49887457937958,13.31639078668747,Sushi Restaurant
79,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,Stilwerk,52.505982369321565,13.325203657150269,Furniture / Home Store
80,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,CHANEL,52.500815718286525,13.316032029430403,Boutique
81,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,Hotel NH Berlin Kurfürstendamm,52.50401365901272,13.323997496373137,Hotel
82,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,Lutter & Wegner,52.50443797237325,13.317357873873723,German Restaurant
83,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,Journey into the Night,52.505101,13.320295,Cocktail Bar
84,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,Stage Theater des Westens,52.50567543884809,13.328980207443237,Theater
85,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,Kerszberg's,52.495876,13.323911,Breakfast Spot
86,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,Nibs,52.50418647303232,13.319752121664193,Café
87,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,Gucci,52.5009512146488,13.317289799451828,Boutique
88,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,Klemkes Wein- und Spezialitäteneck,52.503054949918436,13.317361107390289,Wine Shop
89,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,Arket,52.50382760173313,13.330062602459634,Clothing Store
90,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,Sir Savigny Hotel,52.505749,13.320722,Hotel
91,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,TASCHEN Store Berlin,52.50206,13.31647,Bookstore
92,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,I ❤ Berlin,52.503352676577514,13.32914648515879,Souvenir Shop
93,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,Paulo Scutarro,52.50149041045736,13.317109840428099,Italian Restaurant
94,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,Porsche Design Store,52.50122108260897,13.317053232173869,Boutique
95,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,Mondo Pazzo,52.503300552038375,13.317076548185462,Italian Restaurant
96,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,Rolex Boutique,52.50073426281435,13.314097125142466,Watch Shop
97,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,Namaste,52.496337881488024,13.327769013811476,Indian Restaurant
98,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,Simela,52.505434,13.323688,Pizza Place
99,Charlottenburg-Wilmersdorf,Charlottenburg,52.49995788751185,13.324447707584753,Ali Baba,52.50393877715853,13.319808134806431,Italian Restaurant
100,Charlottenburg-Wilmersdorf,Charlottenburg,52.50852332707869,13.294650463321634,Engelbecken,52.508681368405625,13.293996299854804,German Restaurant
101,Charlottenburg-Wilmersdorf,Charlottenburg,52.50852332707869,13.294650463321634,Restaurant Mylos,52.50665592481844,13.29586185518644,Greek Restaurant
102,Charlottenburg-Wilmersdorf,Charlottenburg,52.50852332707869,13.294650463321634,Stella Alpina Trattoria Ristorante,52.509949,13.296558,Trattoria/Osteria
103,Charlottenburg-Wilmersdorf,Charlottenburg,52.50852332707869,13.294650463321634,Kim's Ha,52.50677,13.296732,Vietnamese Restaurant
104,Charlottenburg-Wilmersdorf,Charlottenburg,52.50852332707869,13.294650463321634,Creplala,52.50673327697425,13.295745108539542,Creperie
105,Charlottenburg-Wilmersdorf,Charlottenburg,52.50852332707869,13.294650463321634,Weingalerie - Weine aus PORTugal,52.507923,13.297061,Wine Shop
106,Charlottenburg-Wilmersdorf,Charlottenburg,52.50852332707869,13.294650463321634,Feines aus Österreich,52.505482594126384,13.296532270472747,German Restaurant
