,Neighborhood,Latitude,Longitude,Area
51,Mahlsdorf,52.500882278394506,13.611944707263712,12.989012226581025
52,Malchow,52.57778893434546,13.48903595187229,1.5179257317841468
53,Mariendorf,52.435015743491704,13.388862783743543,9.377449629276969
54,Marienfelde,52.40874146734521,13.366312408449835,9.142823904914202
55,Marzahn,52.542058880298846,13.555800789154466,19.551388786215682
56,Mitte,52.52222392451958,13.400744490049485,10.679026418440515
57,Moabit,52.52902452338331,13.343040456643699,7.709211653699004
58,Märkisches Viertel,52.598671774399946,13.3540107140989,3.2460495159145073
59,Müggelheim,52.40525821987664,13.688706991632245,22.20603967538664
60,Neu-Hohenschönhausen,52.566897354337556,13.512384740919122,5.15365575774663
61,Neukölln,52.47731371374199,13.44193232474993,11.702476099999258
62,Niederschöneweide,52.45499522737424,13.51450162841708,3.500685308332152
63,Niederschönhausen,52.58141330894297,13.395182095375969,6.48551585712235
64,Nikolassee,52.44167259858892,13.190432642791343,19.621835690198274
65,Oberschöneweide,52.468017245543514,13.515093473957181,8.19649119355476
66,Pankow,52.56722789430256,13.408339066573568,5.655396458266077
67,Plänterwald,52.4804443336285,13.480356253874715,3.015249805425439
68,Prenzlauer Berg,52.53925464965303,13.435323017503594,11.009217400943339
69,Rahnsdorf,52.44475139535195,13.708166822252931,21.44275012745429
70,Reinickendorf,52.574048469765145,13.34104769678451,10.48090802438344
71,Rosenthal,52.595933220823326,13.39253465386746,4.920678018321086
72,Rudow,52.419351492124335,13.494696262674335,11.818148448666365
73,Rummelsburg,52.49858576645782,13.483829915016834,4.407601801758022
74,Schmargendorf,52.48100747471758,13.295629575420884,3.5880505558343314
75,Schmöckwitz,52.369613346773995,13.664328293652648,17.12911709807629
76,Schöneberg,52.479792576586476,13.352769195308298,10.642670183979067
77,Siemensstadt,52.54221175430486,13.260483260280932,5.6638240732791125
78,Spandau,52.536476499248465,13.185682604044771,8.232355177088689
79,Staaken,52.53449311742071,13.142544719769546,10.887245998438496
80,Stadtrandsiedlung Malchow,52.58479577492029,13.473277123437315,5.707395901495674
81,Steglitz,52.45520926335465,13.332596514907973,6.7856961343481075
82,Tegel,52.58747128900176,13.264706364648436,33.63570781719468
83,Tempelhof,52.465146441238744,13.395951885353242,12.252859273278746
84,Tiergarten,52.51073888766504,13.354289825330916,5.180431174463481
85,Waidmannslust,52.605966272240664,13.314758688757356,2.232534920349007
86,Wannsee,52.41971237665667,13.134532223394901,23.735013238729156
87,Wartenberg,52.58339211425613,13.517280436556607,6.923421165299828
88,Wedding,52.55005010515477,13.335520451166278,9.245231483243685
89,Weißensee,52.55282647052072,13.46264456885445,7.935563953072143
90,Westend,52.5096968792607,13.249731906589105,13.527129940990521
91,Wilhelmsruh,52.586677748207066,13.364060349832895,1.3603587939183004
92,Wilhelmstadt,52.514834066357544,13.192288352488315,10.421337458021252
93,Wilmersdorf,52.483949352344595,13.32145344871201,7.160953069030585
94,Wittenau,52.59295685256316,13.32349156037518,5.89616778775266
95,Zehlendorf,52.43671365948374,13.24887363602188,18.80166811976272
