,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
111,Charlottenburg,52.5155497549019,13.30970869308101,Hit Ullrich,52.5134960962386,13.304762239755654,Supermarket
112,Charlottenburg,52.5155497549019,13.30970869308101,Chishkhan,52.51663246113734,13.30657828839896,Middle Eastern Restaurant
113,Charlottenburg,52.5155497549019,13.30970869308101,M & M Back,52.5125326690963,13.305005104808941,Bakery
114,Charlottenburg,52.5155497549019,13.30970869308101,Don Giovanni,52.51193821855951,13.311147016054875,Italian Restaurant
115,Charlottenburg,52.5155497549019,13.30970869308101,REWE City,52.51149410622222,13.309624661822227,Supermarket
116,Charlottenburg,52.5155497549019,13.30970869308101,Smart Stay,52.51345726748512,13.30502403811361,Hostel
117,Charlottenburg,52.5155497549019,13.30970869308101,H Warburgzeile,52.51585316351879,13.312421912572557,Bus Stop
118,Charlottenburg,52.5155497549019,13.30970869308101,Stadtbad Charlottenburg - Alte Halle,52.515879531842714,13.312371638595105,Pool
119,Charlottenburg,52.5155497549019,13.30970869308101,Ibis Styles Berlin an der Oper,52.51168041752415,13.312214648584813,Hotel
120,Charlottenburg,52.5155497549019,13.30970869308101,Operncafé,52.51194493825641,13.311109038684222,Café
121,Charlottenburg-Nord,52.53952249415007,13.299935872934956,EDEKA Busack,52.53937071309805,13.299573819732196,Supermarket
122,Charlottenburg-Nord,52.53952249415007,13.299935872934956,Post Filiale,52.53938734509769,13.299353908210309,Post Office
123,Charlottenburg-Nord,52.53952249415007,13.299935872934956,Jakob-Kaiser-Platz,52.536875247049345,13.294024389248756,Plaza
124,Charlottenburg-Nord,52.53952249415007,13.299935872934956,NETTO,52.539886322271286,13.29615003388567,Supermarket
125,Charlottenburg-Nord,52.53952249415007,13.299935872934956,Yucatan,52.53539131505399,13.301203378084828,Mexican Restaurant
126,Dahlem,52.45616934548006,13.278471323210491,Thielpark,52.45407415101304,13.281269073486328,Park
127,Dahlem,52.45616934548006,13.278471323210491,AlliiertenMuseum,52.45570463768464,13.273013835417439,Museum
128,Dahlem,52.45616934548006,13.278471323210491,McDonald's,52.45894515952155,13.273728511477998,Fast Food Restaurant
129,Dahlem,52.45616934548006,13.278471323210491,Schwarzer Grund,52.452949579647466,13.281397819519043,Park
